Incoming,Answered,Abandoned,Answertime,Duration,Waitingtime
198,190,8,12,158,82
47,47,0,6,129,57
187,186,1,7,150,165
57,54,3,7,157,55
169,162,7,9,159,110
337,316,21,23,133,317
44,43,1,9,155,110
210,206,4,12,159,152
190,186,4,17,142,293
190,182,8,10,160,98
169,168,1,11,145,108
52,50,2,6,154,58
144,137,7,14,156,176
36,36,0,15,173,101
155,148,7,14,146,203
159,154,5,16,161,132
115,110,5,14,148,137
186,173,13,19,159,164
167,157,10,23,152,169
146,142,4,22,162,119
41,31,10,39,223,220
185,85,100,109,166,661
149,83,66,98,138,606
180,115,65,64,153,770
173,144,29,38,180,332
176,158,18,20,153,315
147,120,27,46,159,256
84,77,7,17,127,270
325,78,247,193,181,1047
441,103,338,244,163,938
525,116,409,308,188,1376
610,201,409,193,172,1155
427,282,145,62,169,882
378,331,47,43,157,330
80,67,13,38,192,330
356,320,36,34,172,330
409,355,54,44,175,261
352,302,50,41,183,349
282,239,43,39,186,506
429,390,39,38,161,220
310,285,25,33,165,252
102,94,8,29,160,168
335,297,38,39,153,222
313,291,22,26,145,222
251,240,11,24,162,165
190,176,14,24,151,233
188,170,18,34,169,385
166,160,6,15,160,165
73,68,5,15,133,148
170,159,11,20,160,291
188,181,7,23,159,181
306,262,44,44,168,457
201,185,16,23,158,166
188,184,4,17,156,142
148,131,17,31,171,216
21,17,4,52,209,660
148,129,19,40,181,416
167,154,13,17,163,169
169,158,11,16,156,104
175,163,12,22,157,138
193,183,10,16,169,168
154,144,10,20,161,174
35,34,1,14,186,58
172,161,11,20,168,152
195,182,13,24,171,190
163,157,6,17,166,333
134,126,8,30,178,299
158,142,16,25,165,176
161,144,17,34,169,300
36,34,2,20,125,117
147,136,11,17,175,195
131,130,1,18,167,198
128,120,8,22,167,114
136,119,17,26,172,275
225,209,16,19,149,246
167,151,16,19,147,164
48,46,2,16,146,158
232,204,28,32,142,236
198,187,11,27,168,193
171,163,8,19,161,168
180,173,7,31,169,493
192,175,17,26,181,220
194,180,14,25,170,243
37,27,10,35,173,178
180,169,11,23,164,125
213,198,15,16,167,381
251,239,12,21,138,168
200,189,11,19,173,276
214,205,9,25,168,437
185,154,31,47,176,196
49,46,3,38,141,136
193,185,8,21,171,237
195,184,11,22,159,158
211,195,16,34,171,271
200,190,10,15,176,186
48,47,1,15,193,178
164,159,5,20,171,287
43,42,1,14,152,154
236,223,13,26,166,218
270,262,8,15,156,128
304,262,42,34,176,421
286,270,16,20,168,186
317,284,33,30,168,496
471,396,75,59,161,329
48,44,4,29,151,187
375,317,58,43,172,306
327,309,18,22,168,226
366,316,50,37,164,311
121,105,16,47,180,521
287,266,21,34,186,248
298,277,21,39,188,215
70,56,14,46,203,308
287,255,32,40,210,249
298,259,39,30,194,435
347,317,30,30,191,352
414,356,58,43,207,932
406,362,44,37,182,317
366,322,44,35,183,672
68,64,4,14,178,124
350,320,30,37,193,339
437,352,85,52,181,573
484,438,46,45,177,347
405,368,37,35,189,341
570,368,202,71,204,1551
424,384,40,49,194,536
60,57,3,32,199,180
497,442,55,48,96,645
429,378,51,37,125,655
499,388,111,54,135,1019
510,434,76,48,209,621
549,458,91,73,215,552
590,444,146,83,214,538
137,120,17,58,191,322
598,476,122,58,219,525
231,180,51,64,213,547
724,362,362,121,235,738
732,367,365,168,172,998
582,301,281,161,253,1302
621,344,277,127,209,744
116,106,10,34,263,284
533,300,233,132,243,744
416,322,94,64,214,372
415,259,156,130,237,818
433,289,144,102,208,792
454,284,170,113,214,1162
244,195,49,85,231,682
51,48,3,14,206,201
202,176,26,24,222,328
128,118,10,30,222,473
102,100,2,14,212,189
201,169,32,32,205,372
261,195,66,61,207,475
201,173,28,41,195,410
64,61,3,9,195,143
200,168,32,51,203,406
158,148,10,30,197,248
174,155,19,26,181,310
67,64,3,26,211,298
24,23,1,23,170,121
106,92,14,44,183,304
52,50,2,11,199,84
223,203,20,31,198,251
274,233,41,48,207,310
280,263,17,23,193,230
534,468,66,30,166,279
315,300,15,24,191,170
122,113,9,20,178,139
63,60,3,21,171,172
402,368,34,32,187,186
413,370,43,29,190,202
389,346,43,36,201,310
495,308,187,91,205,995
712,340,372,120,206,985
1057,602,455,104,153,744
620,321,299,162,193,994
1575,871,704,92,153,1365
1349,775,574,106,190,953
999,454,545,168,194,804
968,547,421,146,198,853
1066,453,613,304,219,1357
788,633,155,73,203,746
252,213,39,53,211,497
842,625,217,71,190,868
847,722,125,54,184,485
800,615,185,67,205,444
1100,823,277,68,198,931
1242,909,333,83,184,671
732,460,272,91,192,629
112,104,8,34,201,253
482,434,48,41,181,661
570,484,86,51,187,708
490,398,92,50,197,1304
462,311,151,71,197,530
428,373,55,40,178,421
393,312,81,62,196,496
58,50,8,29,184,186
316,279,37,40,178,211
298,274,24,30,179,182
308,275,33,40,176,414
259,242,17,16,174,249
464,391,73,55,211,313
302,275,27,30,182,594
47,45,2,12,161,157
293,279,14,22,173,177
245,225,20,18,175,251
295,227,68,48,199,342
205,196,9,20,186,310
249,215,34,40,178,1491
236,213,23,26,194,234
39,39,0,14,150,147
208,194,14,17,174,179
39,38,1,4,141,62
115,110,5,8,166,252
338,308,30,27,170,251
404,320,84,45,178,713
436,393,43,26,171,373
73,72,1,7,166,103
521,492,29,17,165,203
648,564,84,27,166,325
729,592,137,55,173,449
1196,718,478,112,189,666
436,323,113,44,182,372
191,178,13,16,171,248
68,68,0,5,176,99
498,429,69,34,189,252
358,329,29,21,183,135
340,302,38,24,170,310
322,306,16,16,159,377
296,282,14,18,157,165
264,234,30,20,154,294
52,51,1,6,156,65
266,264,2,9,159,121
242,238,4,9,165,150
241,228,13,19,168,368
279,269,10,8,163,187
73,72,1,8,184,130
226,218,8,8,174,167
43,42,1,11,158,77
311,255,56,45,175,290
251,210,41,26,174,558
339,313,26,12,122,401
323,261,62,41,177,567
289,265,24,11,180,342
310,281,29,15,161,177
33,31,2,14,173,127
346,318,28,12,156,212
325,285,40,32,165,579
627,504,123,37,200,1182
905,631,274,83,222,724
1141,610,531,106,192,1551
863,511,352,127,183,943
63,56,7,16,151,248
573,487,86,56,165,343
391,323,68,46,188,496
526,355,171,89,230,1127
343,309,34,39,204,310
401,346,55,41,193,310
281,239,42,41,187,200
46,39,7,11,189,249
357,323,34,32,188,434
280,255,25,34,182,211
258,247,11,25,177,252
282,255,27,18,167,249
253,240,13,18,161,371
266,232,34,37,169,371
30,29,1,10,201,49
258,230,28,33,181,254
293,282,11,23,159,158
377,341,36,20,141,189
196,182,14,28,157,174
192,173,19,33,164,399
185,178,7,17,166,189
27,25,2,18,129,187
222,214,8,18,177,372
217,198,19,9,163,177
204,197,7,17,160,230
191,181,10,12,166,284
176,157,19,17,171,248
176,163,13,24,191,187
26,26,0,24,183,117
170,167,3,16,167,128
154,147,7,21,182,227
165,152,13,17,178,220
153,143,10,19,185,195
175,169,6,11,137,132
241,214,27,29,180,873
14,14,0,16,166,87
57,55,2,12,155,127
954,644,310,74,125,672
374,344,30,28,183,532
265,245,20,31,185,201
222,205,17,20,192,130
203,192,11,27,184,247
33,31,2,29,135,343
220,195,25,28,165,186
185,177,8,16,153,188
203,172,31,34,173,306
218,193,25,34,178,454
204,194,10,16,172,186
242,211,31,44,177,368
29,29,0,8,160,44
171,163,8,24,178,199
190,166,24,46,179,560
221,196,25,33,177,325
297,241,56,49,191,412
233,214,19,26,169,233
198,191,7,14,181,129
15,15,0,4,199,14
27,25,2,8,154,124
7,6,1,3,288,31
169,144,25,33,156,511
224,206,18,20,155,146
170,160,10,28,181,310
161,149,12,24,188,154
37,35,2,12,168,63
183,169,14,32,178,268
221,206,15,30,174,263
202,193,9,18,173,168
193,163,30,36,192,312
201,196,5,10,163,152
193,180,13,21,162,197
27,25,2,25,123,127
227,206,21,29,181,266
225,199,26,35,178,319
204,193,11,33,159,321
221,194,27,29,168,305
172,154,18,34,189,186
161,150,11,36,171,353
17,14,3,47,188,172
168,145,23,38,177,248
160,142,18,33,164,558
185,159,26,41,176,343
155,146,9,28,169,207
188,172,16,28,159,184
152,120,32,29,174,395
26,26,0,17,181,78
